format,team1,team2,toss_winner,match_winner,venue,date
T20,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Perth Scorchers,"Blacktown International Sportspark, Sydney",2022-10-17
MDM,Otago Volts,Northern Districts,Northern Districts,No Result,"Seddon Park, Hamilton",2024-11-28
MDM,Northamptonshire,Warwickshire,Warwickshire,No Result,"Edgbaston, Birmingham",2022-05-12
T20,South Korea,Indonesia,South Korea,Indonesia,Sano International Cricket Ground,2022-10-18
T20,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-08
MDM,Hampshire,Derbyshire,Derbyshire,No Result,"County Ground, Derby",2014-04-20
MDM,Nottinghamshire,Hampshire,Hampshire,No Result,"The Rose Bowl, Southampton",2015-04-26
T20,Uganda,Zimbabwe,Zimbabwe,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",2024-03-08
T20,Sussex,Kent,Kent,Sussex,"County Ground, Hove",2024-06-20
T20,Islamabad United,Karachi Kings,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,2018-03-18
T20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,2014-01-09
ODM,Nondescripts Cricket Club,Bloomfield Cricket and Athletic Club,Nondescripts Cricket Club,Nondescripts Cricket Club,"Nondescripts Cricket Club Ground, Colombo",2024-06-16
ODI,Canada,Netherlands,Canada,Netherlands,"Sportpark Westvliet, The Hague",2024-08-11
T20,Lahore Qalandars,Multan Sultans,Multan Sultans,Multan Sultans,National Stadium,2019-03-11
T20,Northern Superchargers,Birmingham Phoenix,Birmingham Phoenix,Birmingham Phoenix,"Headingley, Leeds",2021-08-17
T20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Dubai International Cricket Stadium,2020-11-01
ODM,Uganda,Oman,Uganda,Oman,Kyambogo Cricket Oval,2017-05-26
T20,Bangladesh,India,Bangladesh,India,Rangiri Dambulla International Stadium,2024-07-26
T20,Singapore,Kuwait,Singapore,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-08-24
T20,Dolphins,Cape Cobras,Cape Cobras,Cape Cobras,"Kingsmead, Durban",2014-11-21
T20,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Dubai International Cricket Stadium,2019-03-01
T20,Railways,Jammu & Kashmir,Jammu & Kashmir,Jammu & Kashmir,Alur Cricket Stadium,2021-01-18
ODI,England,Bangladesh,Bangladesh,England,Edgbaston,2010-07-12
MDM,Auckland Aces,Wellington Firebirds,Auckland Aces,Wellington Firebirds,"Eden Park Outer Oval, Auckland",2024-12-07
T20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,2017-05-12
MDM,Hampshire,Somerset,Somerset,No Result,"County Ground, Taunton",2015-09-09
ODI,Sri Lanka,England,Sri Lanka,Sri Lanka,R Premadasa Stadium,2014-12-16
T20,Chattogram Challengers,Dhaka Dominators,Chattogram Challengers,Chattogram Challengers,"Shere Bangla National Stadium, Mirpur",2023-02-07
Test,South Africa,England,South Africa,England,Kingsmead,2015-12-26
ODI,England,South Africa,England,England,County Ground,2017-07-05
IT20,Swaziland,Malawi,Swaziland,Malawi,Botswana Cricket Association Oval 2,2018-10-30
T20,Sri Lanka,West Indies,West Indies,West Indies,Pallekele International Cricket Stadium,2020-03-04
ODM,Central Sparks,The Blaze,Central Sparks,The Blaze,"Edgbaston Foundation Community Sports Ground, Birmingham",2023-09-05
T20,Melbourne Stars,Perth Scorchers,Melbourne Stars,Perth Scorchers,Perth Stadium,2022-12-29
T20,Lancashire,Northamptonshire,Lancashire,Northamptonshire,"County Ground, Northampton",2022-06-17
T20,Brisbane Heat,Sydney Thunder,Brisbane Heat,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2023-12-27
T20,Kenya,Seychelles,Kenya,Kenya,"Sikh Union Club Ground, Nairobi",2024-10-18
T20,Canada,New Zealand,Canada,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",2026-02-17
T20,India,Sri Lanka,India,India,Holkar Cricket Stadium,2020-01-07
T20,Netherlands,Papua New Guinea,Netherlands,Netherlands,"Queens Sports Club, Bulawayo",2022-07-11
IT20,Hong Kong,Malaysia,Malaysia,Hong Kong,Yeonhui Cricket Ground,2014-09-30
T20,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,"Bellerive Oval, Hobart",2023-01-09
T20,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2008-04-24
MDM,Somerset,Middlesex,Somerset,Somerset,"County Ground, Taunton",2017-09-25
T20,Namibia,Uganda,Namibia,Uganda,"United Cricket Club Ground, Windhoek",2023-05-01
ODI,Australia,Pakistan,Australia,Pakistan,Sheikh Zayed Stadium,2009-05-03
Test,West Indies,England,England,England,"National Cricket Stadium, St George's",2015-04-21
MDM,Lancashire,Essex,Essex,Essex,"County Ground, Chelmsford",2024-04-19
ODM,Essex,Warwickshire,Warwickshire,Warwickshire,"County Ground, Chelmsford",2024-07-24
ODM,Essex,Northamptonshire,Essex,Northamptonshire,"County Ground, Northampton",2022-08-07
T20,New Zealand,Pakistan,New Zealand,New Zealand,Eden Park,2010-12-26
T20,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,"Gaddafi Stadium, Lahore",2023-03-17
T20,MI Emirates,Dubai Capitals,Dubai Capitals,Dubai Capitals,Dubai International Cricket Stadium,2023-02-05
T20,Birmingham Phoenix,Welsh Fire,Birmingham Phoenix,Welsh Fire,"Edgbaston, Birmingham",2023-08-10
Test,India,Australia,India,India,"Vidarbha Cricket Association Stadium, Jamtha",2008-11-06
Test,West Indies,New Zealand,New Zealand,New Zealand,"Sabina Park, Kingston",2014-06-08
T20,Australia,New Zealand,Australia,New Zealand,Sylhet Stadium,2014-03-23
T20,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Wankhede Stadium,2011-04-15
T20,Surrey,Sussex,Sussex,No Result,"Kennington Oval, London",2021-06-17
T20,The Blaze,Essex,The Blaze,The Blaze,"County Ground, Chelmsford",2025-07-13
T20,Sussex,Surrey,Sussex,No Result,Arundel Castle Cricket Club Ground,2015-06-14
T20,Warriors,Lions,Warriors,Warriors,"Newlands, Cape Town",2014-01-05
MDM,Middlesex,Warwickshire,Middlesex,No Result,"Edgbaston, Birmingham",2016-08-31
T20,Myanmar,Maldives,Myanmar,Maldives,"Bayuemas Oval, Kuala Lumpur",2024-09-05
ODI,Australia,Netherlands,Australia,Australia,"Arun Jaitley Stadium, Delhi",2023-10-25
T20,Australia,New Zealand,Australia,Australia,Providence Stadium,2018-11-13
Test,Sri Lanka,India,India,India,Galle International Stadium,2008-07-31
MDM,Derbyshire,Middlesex,Derbyshire,No Result,"Lord's, London",2025-09-08
T20,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",2024-02-29
ODM,Badureliya Sports Club,Ace Capital Cricket Club,Ace Capital Cricket Club,Badureliya Sports Club,"Surrey Village, Maggona",2025-07-01
T20,St Lucia Kings,St Kitts and Nevis Patriots,St Lucia Kings,St Kitts and Nevis Patriots,"Warner Park, Basseterre, St Kitts",2021-09-15
T20,Argentina,Chile,Chile,Argentina,San Albano,2023-10-14
MDM,Derbyshire,Sussex,Sussex,Sussex,"County Ground, Hove",2016-05-28
MDM,Derbyshire,Gloucestershire,Gloucestershire,No Result,"County Ground, Derby",2014-05-25
T20,Sierra Leone,Malawi,Sierra Leone,Sierra Leone,Botswana Cricket Association Oval 2,2018-08-23
ODI,United Arab Emirates,Scotland,United Arab Emirates,Scotland,"Moosa Cricket Stadium, Pearland",2022-05-31
T20,Papua New Guinea,Samoa,Papua New Guinea,Papua New Guinea,"Ground 1, Independence Park",2019-05-10
T20,Nottinghamshire,Birmingham Bears,Birmingham Bears,Nottinghamshire,"Edgbaston, Birmingham",2023-06-03
T20,Pretoria Capitals,Paarl Royals,Pretoria Capitals,Pretoria Capitals,"Boland Park, Paarl",2026-01-10
T20,Munster Reds,Leinster Lightning,Leinster Lightning,Leinster Lightning,"Pembroke Cricket Club, Sandymount, Dublin",2020-08-20
ODM,Yorkshire,Kent,Kent,Yorkshire,"St Lawrence Ground, Canterbury",2016-08-18
T20,Birmingham Bears,Nottinghamshire,Nottinghamshire,Nottinghamshire,"Trent Bridge, Nottingham",2025-05-30
T20,Wellington,Otago,Wellington,Wellington,"Molyneux Park, Alexandra",2023-12-28
T20,India,Sri Lanka,Sri Lanka,No Result,Pallekele International Cricket Stadium,2024-07-30
T20,Durdanto Dhaka,Khulna Tigers,Durdanto Dhaka,Khulna Tigers,Sylhet International Cricket Stadium,2024-01-29
ODM,Kenya,Netherlands,Netherlands,Netherlands,Buffalo Park,2017-10-06
T20,Brisbane Heat,Sydney Thunder,Brisbane Heat,Brisbane Heat,"Bellerive Oval, Hobart",2022-11-04
ODI,United Arab Emirates,Nepal,United Arab Emirates,United Arab Emirates,ICC Academy,2019-01-25
MDM,South Australia,Victoria,South Australia,No Result,"Gliderol Stadium, Adelaide",2020-10-30
T20,Chattogram Challengers,Fortune Barishal,Fortune Barishal,Fortune Barishal,"Shere Bangla National Stadium, Mirpur",2024-02-26
MDM,Canterbury,Otago Volts,Otago Volts,Canterbury,"Hagley Oval, Christchurch",2015-10-24
T20,Otago,Wellington,Otago,Wellington,University Oval,2021-01-14
T20,Boland,Dolphins,Dolphins,Boland,"St George's Park, Port Elizabeth",2022-02-20
MDM,Worcestershire,Northamptonshire,Northamptonshire,Worcestershire,"County Ground, Northampton",2020-08-15
ODI,Namibia,Netherlands,Netherlands,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-19
T20,Australia,Ireland,Ireland,Australia,"Bready Cricket Club, Magheramason, Bready",2022-07-21
ODM,Sussex,Warwickshire,Sussex,Sussex,"Edgbaston, Birmingham",2025-08-26
Test,New Zealand,Bangladesh,Bangladesh,New Zealand,Seddon Park,2010-02-15
T20,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,2016-02-19
ODI,Bangladesh,Ireland,Ireland,No Result,"County Ground, Chelmsford",2023-05-09
MDM,Sussex,Warwickshire,Sussex,Sussex,"Cricket Field Road Ground, Horsham",2014-07-21
T20,Canada,United States of America,Canada,Canada,"St Albans Club, Buenos Aires",2025-03-10
T20,Northamptonshire,Birmingham Bears,Birmingham Bears,Northamptonshire,County Ground,2020-09-01
MDM,Otago Volts,Central Stags,Otago Volts,Central Stags,"Nelson Park, Napier",2014-10-26
ODI,New Zealand,India,India,New Zealand,"Seddon Park, Hamilton",2022-03-10
MDM,Durham,Nottinghamshire,Nottinghamshire,No Result,"Trent Bridge, Nottingham",2021-04-08
MDM,Middlesex,Derbyshire,Derbyshire,No Result,"Lord's, London",2019-09-23
T20,Bahamas,Argentina,Bahamas,Bahamas,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-08
ODM,Middlesex,Somerset,Somerset,Somerset,"County Ground, Taunton",2016-07-26
T20,Scotland,Italy,Italy,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",2023-07-24
T20,India,Ireland,Ireland,India,"Malahide, Dublin",2023-08-20
ODM,Central Sparks,Northern Diamonds,Central Sparks,Northern Diamonds,"North Marine Road Ground, Scarborough",2021-09-22
T20,New Zealand,Scotland,New Zealand,New Zealand,Kennington Oval,2009-06-06
ODM,Northamptonshire,Durham,Northamptonshire,Northamptonshire,"Riverside Ground, Chester-le-Street",2025-08-15
IT20,Ireland,Namibia,Namibia,Ireland,Sheikh Zayed Stadium,2017-01-17
MDM,Central Stags,Northern Districts,Central Stags,Central Stags,McLean Park,2020-02-22
MDM,Northamptonshire,Essex,Essex,No Result,"County Ground, Chelmsford",2022-04-28
MDM,Gloucestershire,Lancashire,Lancashire,No Result,"College Ground, Cheltenham",2019-05-27
T20,St Lucia Stars,Guyana Amazon Warriors,St Lucia Stars,Guyana Amazon Warriors,"Daren Sammy National Cricket Stadium, Gros Islet",2017-08-13
T20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sharjah Cricket Stadium,2020-10-04
ODI,England,Sri Lanka,Sri Lanka,England,Sophia Gardens,2016-07-02
ODI,England,India,India,England,Headingley,2014-09-05
ODM,Oman,Nepal,Oman,Oman,Sheikh Zayed Stadium Nursery 1,2015-11-14
Test,West Indies,Pakistan,West Indies,Pakistan,Gaddafi Stadium,2006-11-11
T20,South Africa,England,England,South Africa,"Sophia Gardens, Cardiff",2022-07-28
ODI,India,Pakistan,Pakistan,India,Gaddafi Stadium,2004-03-24
T20,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,2018-04-07
T20,Kent,Somerset,Somerset,Somerset,"St Lawrence Ground, Canterbury",2025-07-11
T20,Western Storm,Sunrisers,Sunrisers,Sunrisers,"The Cooper Associates County Ground, Taunton",2021-06-26
ODI,Bangladesh,England,England,England,Kennington Oval,2005-06-16
ODM,Yorkshire,Derbyshire,Yorkshire,No Result,"Headingley, Leeds",2019-04-26
T20,India,Ireland,Ireland,India,Providence Stadium,2018-11-15
Test,India,Bangladesh,Bangladesh,India,Eden Gardens,2019-11-22
T20,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-02
T20,Perth Scorchers,Sydney Thunder,Perth Scorchers,Sydney Thunder,Perth Stadium,2023-01-04
ODI,New Zealand,West Indies,New Zealand,New Zealand,Jade Stadium,2006-02-25
MDM,Western Australia,South Australia,South Australia,No Result,Adelaide Oval,2024-11-23
T20,Supernovas,Velocity,Velocity,Velocity,Sharjah Cricket Stadium,2020-11-04
T20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,2015-04-18
MDM,Somerset,Surrey,Somerset,No Result,"Kennington Oval, London",2021-07-11
T20,New Zealand,South Africa,South Africa,New Zealand,"Edgbaston, Birmingham",2022-07-30
T20,Texas Super Kings,Washington Freedom,Washington Freedom,No Result,"Church Street Park, Morrisville",2024-07-08
MDM,Central Stags,Canterbury,Canterbury,Central Stags,Saxton Oval,2018-10-10
T20,Yorkshire Diamonds,Loughborough Lightning,Yorkshire Diamonds,Loughborough Lightning,"Haslegrave Ground, Loughborough",2019-08-18
T20,Ghana,Sierra Leone,Sierra Leone,Sierra Leone,Integrated Polytechnic Regional Centre,2022-12-05
ODM,Surrey,Gloucestershire,Surrey,Gloucestershire,"Kennington Oval, London",2022-08-19
ODM,Glamorgan,Warwickshire,Glamorgan,Warwickshire,"Edgbaston, Birmingham",2015-08-03
Test,India,England,England,India,"MA Chidambaram Stadium, Chepauk",2008-12-11
T20,Wellington,Canterbury,Canterbury,Wellington,"Hagley Oval, Christchurch",2026-01-23
ODM,Sussex,Middlesex,Middlesex,Sussex,"County Ground, Hove",2022-08-23
T20,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,"Junction Oval, Melbourne",2024-11-03
T20,Nigeria,Rwanda,Nigeria,Nigeria,"Gahanga International Cricket Stadium, Rwanda",2024-12-13
T20,Surrey,Sussex,Sussex,Surrey,"County Ground, Hove",2024-06-15
T20,Nepal,Maldives,Nepal,Nepal,Tribhuvan University International Cricket Ground,2019-12-09
Test,Bangladesh,Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,2021-07-07
T20,Zimbabwe,Uganda,Uganda,Uganda,"United Cricket Club Ground, Windhoek",2023-11-26
ODI,India,New Zealand,India,New Zealand,Wankhede Stadium,2017-10-22
MDM,Auckland Aces,Wellington Firebirds,Wellington Firebirds,No Result,"Basin Reserve, Wellington",2020-11-14
T20,Barbados,Australia,Australia,Australia,"Edgbaston, Birmingham",2022-07-31
Test,New Zealand,Pakistan,New Zealand,New Zealand,Sheikh Zayed Stadium,2018-11-16
T20,Canterbury,Auckland,Auckland,No Result,Eden Park Outer Oval,2021-01-03
ODI,India,Pakistan,Pakistan,India,Green Park,2007-11-11
T20,The Blaze,Surrey,Surrey,The Blaze,"Kennington Oval, London",2025-06-11
ODI,West Indies,Bangladesh,Bangladesh,West Indies,Arnos Vale Ground,2004-05-16
ODI,Australia,Scotland,Australia,Australia,Bellerive Oval,2015-03-14
T20,Croatia,Finland,Croatia,Finland,Tikkurila Cricket Ground,2022-07-18
T20,Bermuda,Singapore,Bermuda,Singapore,ICC Academy Ground No 2,2019-10-20
T20,India,England,England,England,Sophia Gardens,2018-07-06
T20,Glamorgan,Hampshire,Hampshire,Glamorgan,The Rose Bowl,2014-05-16
T20,Kenya,Botswana,Botswana,Kenya,"Gahanga International Cricket Stadium, Rwanda",2024-06-08
T20,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",2022-04-17
T20,West Indies,England,England,West Indies,"Kensington Oval, Bridgetown, Barbados",2022-01-26
ODI,India,England,India,India,"Nehru Stadium, Fatorda",2006-04-03
T20,Australia,South Africa,South Africa,Australia,"Vidarbha Cricket Association Stadium, Jamtha",2016-03-18
T20,Cape Cobras,Warriors,Cape Cobras,Cape Cobras,"Boland Park, Paarl",2017-11-29
MDM,Nottinghamshire,Derbyshire,Derbyshire,Derbyshire,"Trent Bridge, Nottingham",2020-08-01
MDM,Wellington Firebirds,Otago Volts,Otago Volts,No Result,"University Oval, Dunedin",2024-11-19
ODM,Middlesex,Sussex,Sussex,No Result,"Lord's, London",2017-04-27
T20,Lancashire,Durham,Lancashire,Lancashire,Riverside Ground,2020-08-27
Test,Pakistan,Zimbabwe,Pakistan,Pakistan,Harare Sports Club,2021-05-07
T20,Thailand,Bahrain,Bahrain,No Result,"Bayuemas Oval, Kuala Lumpur",2025-11-27
T20,Sylhet Super Stars,Rangpur Riders,Rangpur Riders,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",2015-12-07
T20,Finland,Sweden,Sweden,Sweden,Kerava National Cricket Ground,2021-08-22
T20,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,M.Chinnaswamy Stadium,2018-05-17
ODM,Tanzania,Singapore,Singapore,No Result,"Lugogo Cricket Oval, Kampala",2024-11-13
T20,Middlesex,Sussex,Middlesex,No Result,County Ground,2017-07-28
ODI,England,India,England,England,County Ground,2012-07-05
T20,Wellington,Otago,Wellington,Wellington,"University Oval, Dunedin",2025-01-18
ODI,Bermuda,Canada,Canada,Canada,Willowmoore Park,2006-11-30
T20,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Dubai International Cricket Stadium,2017-02-10
MDM,Worcestershire,Sussex,Worcestershire,No Result,"County Ground, New Road, Worcester",2016-05-15
T20,Mongolia,Malaysia,Malaysia,Malaysia,"YSD-UKM Cricket Oval, Bangi",2024-09-09
T20,Namibia,Rwanda,Rwanda,Namibia,"Wanderers Cricket Ground, Windhoek",2023-11-25
ODI,South Africa,England,England,England,SuperSport Park,2009-11-22
T20,Otago,Wellington,Otago,Wellington,"Basin Reserve, Wellington",2022-01-06
T20,Derbyshire,Durham,Durham,Durham,"County Ground, Derby",2024-07-19
T20,Northern Knights,Munster Reds,Munster Reds,Northern Knights,"Pembroke Cricket Club, Sandymount, Dublin",2024-05-02
T20,Warwickshire,Hampshire,Hampshire,Warwickshire,"The Rose Bowl, Southampton",2025-07-13
T20,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Docklands Stadium,2017-01-07
MDM,Auckland Aces,Otago Volts,Otago Volts,Auckland Aces,Kennards Hire Community Oval,2017-11-07
ODM,Denmark,Kuwait,Denmark,Kuwait,"Gymkhana Club Ground, Nairobi",2024-09-25
T20,Germany,Spain,Spain,Spain,"Desert Springs Cricket Ground, Almeria",2021-09-11
T20,Sri Lanka,Australia,Australia,Australia,"Manuka Oval, Canberra",2022-02-15
ODM,Northern Knights,Munster Reds,Munster Reds,Northern Knights,"Mardyke, Cork",2023-08-15
ODI,England,West Indies,West Indies,West Indies,Kennington Oval,2004-09-25
T20,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,Quetta Gladiators,Sharjah Cricket Stadium,2017-02-28
ODI,India,South Africa,South Africa,South Africa,Wankhede Stadium,2015-10-25
ODI,Pakistan,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-16
T20,Sudur Paschim Royals,Lumbini Lions,Sudur Paschim Royals,Lumbini Lions,"Tribhuvan University International Cricket Ground, Kirtipur",2025-12-13
ODI,Australia,India,Australia,India,"Vidarbha Cricket Association Stadium, Jamtha",2017-10-01
T20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Eden Gardens,2019-04-25
T20,Trent Rockets,Manchester Originals,Manchester Originals,Trent Rockets,"Old Trafford, Manchester",2022-08-13
T20,India,Australia,Australia,India,Manuka Oval,2020-12-04
MDM,New South Wales,South Australia,New South Wales,No Result,Sydney Cricket Ground,2026-02-05
ODI,Thailand,West Indies,West Indies,West Indies,"Gaddafi Stadium, Lahore",2025-04-19
T20,Tanzania,Malawi,Malawi,Tanzania,"Willowmoore Park, Benoni",2022-09-20
T20,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,2014-05-24
MDM,Nottinghamshire,Somerset,Somerset,Somerset,"Trent Bridge, Nottingham",2019-04-11
T20,Italy,Germany,Italy,Germany,"Desert Springs Cricket Ground, Almeria",2021-10-17
MDM,Essex,Warwickshire,Warwickshire,Essex,"County Ground, Chelmsford",2019-07-13
T20,Dambulla Viiking,Colombo Kings,Dambulla Viiking,Dambulla Viiking,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2020-12-01
T20,Zimbabwe,Gambia,Zimbabwe,Zimbabwe,"Ruaraka Sports Club Ground, Nairobi",2024-10-23
